Ant-Man (Eric OGrady)	#40100,#c8a620
Matsuo Tsurayaba	#fefefe,#221422
Makkari	#25101a,#26110e
Luminals	#804b62,#b18b74
Mentallo	#776258,#aa8e7f
M.O.D.O.K.	#31709b,#844f3c
Meggan	#191b32,#938979
M.O.D.A.M.	#25101a,#26110e
Mary Jane Watson (House of M)	#efe6c2,#d4e7f1
Loners	#7a6048,#3b261a
Mephistopheles	#25101a,#26110e
Mantis	#9f3a28,#912616
Magneto (Ultimate)	#c5591a,#d98b40
Mentor	#25101a,#26110e
Marten Broadcloak	#25101a,#26110e
Magdalene	#25101a,#26110e
Magik (Amanda Sefton)	#30201,#a9927e
Madrox	#9a3d2f,#40202
Magneto (Age of Apocalypse)	#150903,#caa61c
Maria Hill	#c56a1d,#e68c34
Maverick (Christoph Nord)	#25101a,#26110e
Mesmero	#bda57f,#876240
Ma Gnuci	#25101a,#26110e
Machine Man	#9c8f80,#f3e5ce
Medusa	#380b20,#7e2344
Martin Li	#25101a,#26110e
Master Chief	#be9b59,#7c6545
Maddog	#25101a,#26110e
Marcus Van Sciver	#25101a,#26110e
Masked Marvel (Unrevealed)	#25101a,#26110e
Magneto (X-Men: Battle of the Atom)	#c3eefa,#d7fcfa
Lucky Pierre	#9f9088,#a7979d
M.O.D.O.K. (Iron Man 3 - The Official Game)	#352015,#795437
Manta	#f7f5d6,#88a0b0
Luke Cage	#80201,#38b2ba
Masque	#25101a,#26110e
Malice (Earth-161)	#25101a,#26110e
Malcolm Colcord	#25101a,#26110e
Major Mapleleaf	#25101a,#26110e
Mach IV	#25101a,#26110e
Metal Master	#25101a,#26110e
Maginty	#25101a,#26110e
Magus (Technarch)	#25101a,#26110e
Lyja	#fefefe,#61b0d
Mad Thinker	#de8f39,#cd6b16
Luckman	#25101a,#26110e
Mariko Yashida	#c996ad,#fde3a9
Menace	#b4917f,#45251d
Maelstrom	#150a12,#6c5c4b
Marvel Apes	#25101a,#26110e
Meltdown	#25101a,#26110e
Magneto (House of M)	#4f884f,#599859
Man-Thing	#2b0c06,#26070a
Maggott	#25101a,#26110e
Masters of Evil	#685f40,#4d5d67
M.O.D.O.G.	#25101a,#26110e
Lord Tyger	#946035,#3c0905
M (Monet St. Croix)	#9e3d5f,#6f284f
Marrow	#476275,#1a242b
Mastermind	#381a09,#8d461a
Marvel Boy	#faf6ed,#271c21
Mephisto	#959594,#d0504
Marvex	#25101a,#26110e
Master Mold	#25101a,#26110e
Mattie Franklin	#25101a,#26110e
Longshot	#101215,#110905
Madame Hydra	#11121c,#6c5a48
May Parker	#4f884f,#599759
Lorna Dane	#25101a,#26110e
Magneto	#492d60,#f4dbd0
Lord Hawal	#a9977e,#934b2c
Longshot (Ultimate)	#fcfbf7,#87ad98
Loki (LEGO Marvel Super Heroes)	#382921,#804f38
Lucy in the Sky	#16253f,#4a5b7b
Magus (Adam Warlock)	#b18d5b,#f8f539
Lords of Avalon	#25101a,#26110e
Mathemanic	#25101a,#26110e
Maestro	#30201,#31407
Mac Gargan	#25101a,#26110e
Man-Wolf	#415d81,#1a1c22
Maverick (Chris Bradley)	#fdfdfc,#9b8368
Mandroid	#25101a,#26110e
Madripoor	#a98673,#809ec1
Magma (Amara Aquilla)	#dd8c49,#b14d30
Mary Jane Watson	#a3938e,#60101
Marvel Zombies	#f6eac4,#945230
Logan	#25101a,#26110e
Loki	#9d9792,#b1328
Mary Jane Watson (Ultimate)	#c190c,#2d1e15
Madame Masque	#101835,#4b5571
Mauler	#25101a,#26110e
Marauders	#50201,#d98d4a
Miek	#7e5646,#bc8e73
Mikhail Rasputin	#25101a,#26110e
Mister Sinister (Deadpool)	#545964,#930503
Mongu (Unrevealed)	#25101a,#26110e
Nebula	#518651,#79a97a
Mr. Fish	#25101a,#26110e
Monster Badoon	#25101a,#26110e
Night Thrasher (Dwayne Taylor)	#d2dcef,#d5997f
Mordo	#25101a,#26110e
Nick Fury (Ultimate)	#9b9286,#7e604b
Miracleman	#39b2ba,#48c6cf
Microbe	#fbf5f0,#50507d
New Warriors	#9b9892,#251a0f
Nekra	#60831,#10279c
Micromax	#a0b1a,#d0503
Namor	#50c5cd,#ac9186
Newton Destine	#25101a,#26110e
Mystique (Ultimate)	#25101a,#26110e
Namorita	#c9a51c,#d0a557
Natasha Romanoff	#25101a,#26110e
Nicolaos	#25101a,#26110e
Night Thrasher	#4f8750,#904339
Nighthawk	#fefefd,#83817e
Mockingbird	#912515,#a93e23
Nick Fury (LEGO Marvel Super Heroes)	#25101a,#26110e
Mystique (Age of Apocalypse)	#456a7a,#508452
Network	#25101a,#26110e
Mr. Negative	#1e232f,#495777
Ms. Marvel (Kamala Khan)	#9d9691,#ae1130
Nightmare	#10101,#676951
Micro/Macro	#25101a,#26110e
Misty Knight	#e1903d,#c0671d
Mr. Fixit	#25101a,#26110e
Mister Sinister (House of M)	#111223,#10060c
Microchip	#25101a,#26110e
Morg	#25101a,#26110e
Mister Sinister (Ultimate)	#25101a,#26110e
Mysterio	#e5e5ec,#15142f
Mysterio (Daniel Berkhart)	#25101a,#26110e
Mr. Fantastic (Ultimate)	#cba71b,#60305
Moon Knight (Ultimate)	#25101a,#26110e
Moon Girl (Lunella Layfayette)	#25101a,#26110e
Molly Von Richtofen	#25101a,#26110e
Moon Knight	#366d96,#262630
Moonstone	#912616,#a23b2a
Multiple Man	#b3a694,#efe1d1
Mr. Meugniot	#ae8b75,#796351
Mysterio (Francis Klum)	#25101a,#26110e
Molly Hayes	#7c5f3a,#a89778
New Goblin	#25101a,#26110e
Mystique (House of M)	#af9788,#516779
Nightcrawler (Ultimate)	#2022f,#87827a
New X-Men	#32709a,#6ba4c4
Next Avengers	#25101a,#26110e
Nemesis	#25101a,#26110e
Nico Minoru	#fae3bc,#f0705
Mole Man	#30201,#8d887f
Millie the Model	#1c0001,#a2877b
Morgan Stark	#25101a,#26110e
Millenium Guard	#25101a,#26110e
Mystique	#c8a51d,#117aa5
Moira MacTaggert (Ultimate)	#ba9581,#b0878d
Moira MacTaggert	#e7e3d7,#191613
Nextwave	#7b553c,#66c4c0
Midnight (Earth-811)	#25101a,#26110e
Mr. Immortal	#2d201d,#4d6083
Moon Knight (House of M)	#25101a,#26110e
MVP	#110705,#7d3d55
Morph	#fefefe,#ea1b5f
Molten Man	#c0f27,#82a0d4
Mr. Hyde	#80704,#92857e
MI: 13	#120805,#b58e73
Mulholland Black	#25101a,#26110e
Mr. X	#351a11,#8e4f30
Naoko	#60101,#b2928b
Nick Fury	#a66a34,#c38e57
Mongoose	#aea38f,#e9d6c2
Mojo	#b0803,#7b5f36
Morlocks	#518252,#38667d
Nakia (Nakia)	#25101a,#26110e
Mother Askani	#25101a,#26110e
Moondragon	#40c14,#9e857f
Mr. Fantastic	#a63928,#912616
Nehzno	#25101a,#26110e
Night Nurse (Earth-9997)	#f4e7bf,#beaa93
Mimic	#25101a,#26110e
Mister Sinister	#a63524,#912616
Mr. Payback	#25101a,#26110e
Namora	#146d93,#436956
Mr. Bumpo	#25101a,#26110e
Morlun	#912616,#a33828
New Mutants	#33729c,#e29e47
Nightshade	#25101a,#26110e
Molecule Man	#e58b34,#d9761a
MS2	#25101a,#26110e
Morbius	#4f884f,#1c2a31
Miss America	#25101a,#26110e
Mindworm	#4d585f,#2e3336
Nightcrawler	#c96918,#60201
Mister Fear	#25101a,#26110e
Puma	#8c837c,#281812
Purifiers	#695746,#492d5f
Prodigy	#a5978c,#9c5d3e
Obadiah Stane	#fefefd,#5da1e1
Pride	#1e160e,#182319
Punisher (Marvel: Avengers Alliance)	#474646,#140e0a
Phil Coulson (Phil Coulson)	#25101a,#26110e
Onslaught (Ultimate)	#25101a,#26110e
Ogun	#e4e3c8,#1d0a16
PsyNapse	#25101a,#26110e
Proemial Gods	#91633,#af936b
Patriot	#f3e7cc,#7d5b42
Prima	#3f6b4a,#a3916f
Okoye	#25101a,#26110e
Patch	#25101a,#26110e
Phil Sheldon	#cbd2db,#81a6cb
Quake (Daisy Johnson)	#9c9891,#241c12
Professor Monster	#25101a,#26110e
Punisher (2099)	#d28852,#40101
Orphan-Maker	#101227,#52527a
Proudstar	#25101a,#26110e
Piledriver	#f4e3c3,#d5996c
Peter Parker	#25101a,#26110e
Pip	#86a6bb,#cad8e1
Omega Flight	#25101a,#26110e
Nova (Sam Alexander)	#2f709b,#90402
Puck (Zuzha Yu)	#30200,#c49870
Punisher	#a23a2a,#912616
Nomad (Steve Rogers)	#25101a,#26110e
Nocturne	#25101a,#26110e
Nine-Fold Daughters of Xao	#aa9378,#895437
Nova	#397ca2,#90200
Pretty Boy	#ffffff,#e9f0f7
Omega Red	#3b150a,#341121
Paladin	#c7a41c,#565e6d
Ozymandias	#25101a,#26110e
Phyla-Vell	#25101a,#26110e
Phantom Reporter	#111111,#120f21
Ord	#3090d,#878480
Odin	#bc9874,#94673e
Plazm	#25101a,#26110e
pug	#25101a,#26110e
Penance (Robert Baldwin)	#9b9991,#80604
Paper Doll	#3369ae,#f9f7f5
Quasar (Wendell Vaughn)	#4ac6cf,#39b2ba
Orphan	#25101a,#26110e
Pet Avengers	#fdfcfa,#954b2c
Preak	#706d41,#aba877
Northstar	#c78d55,#a15531
Nomad (Rikki Barnes)	#1f7493,#101a22
Proteus (House of M)	#25101a,#26110e
Prowler	#0,#fefefe
Quasar (Phyla-Vell)	#bf661f,#dd8e43
Princess Powerful	#7c5f3a,#a89778
Old Lace	#392310,#7a5a32
Praxagora	#eae9e6,#dedee5
Nuke	#fefefc,#556d79
Nitro	#b78d7f,#f8ede1
Prince of Orphans	#25101a,#26110e
Pixie	#f5f4f2,#a1988c
Nomad	#0,#472a3
Payback	#25101a,#26110e
Post	#25101a,#26110e
Pestilence	#25101a,#26110e
Quasimodo	#f6f5ef,#9aa1b5
Puff Adder	#fefefe,#8d9274
Pandemic	#25101a,#26110e
Pyro	#32130e,#a24427
Oracle	#fdfdfd,#99abc1
Norrin Radd	#1d293f,#4c5e6d
Onslaught	#939392,#2d0e1a
Puck	#20000,#d08a6c
Proteus	#4f874f,#585f69
Phalanx	#3a6e8b,#77a1b3
Puppet Master	#f5e5cf,#b5a09a
Overlord	#25101a,#26110e
Power Pack	#53c0ca,#39b1b9
Purple Man	#40201,#ad4331
Prism	#25101a,#26110e
Psylocke	#9d9a98,#40302
Pete Wisdom	#10101,#191d21
Professor X (Ultimate)	#572657,#3b1f42
Power Man (USM)	#39c5f7,#22211b
Photon	#25101a,#26110e
Omega Sentinel	#a99e8f,#e2dac5
Polaris	#c8aa60,#487268
Otto Octavius	#25101a,#26110e
Nova (USM)	#4ac4f3,#b7e3f8
Nova (Frankie Raye)	#4e874f,#71a572
Outlaw Kid	#25101a,#26110e
Omega the Unknown	#d5c2b5,#58617b
Prowler (Rick Lawson)	#25101a,#26110e
Owl	#17130e,#6c6454
Pepper Potts	#fdfcfb,#8caab9
Professor X	#39b2ba,#4fc3cc
Paibok	#fefefe,#86887c
Proteus (Ultimate)	#60302,#aa8f7f
Peter Quill	#25101a,#26110e
Psycho-Man	#3e786d,#f8f1bb
Norman Osborn	#4e874e,#100b06
Sabra	#25101a,#26110e
Red Ghost	#4f884f,#1d0904
Scarlet Spider (Kaine)	#121a1e,#d4e3da
Rumiko Fujikawa	#25101a,#26110e
Rachel Grey	#c8a51c,#a993a2
S.H.I.E.L.D.	#a43828,#902616
Quicksilver (Ultimate)	#3a6e93,#d1013
Reavers	#b6ab86,#d0904
Ronan	#922616,#a03927
Scarlet Witch	#4b2c5e,#724065
Rhodey	#25101a,#26110e
Salo	#a29483,#25180d
Ricochet	#25101a,#26110e
Runaways	#51c3cc,#36b0b9
Quentin Quire	#10000,#fadbb1
Scarlet Witch (Ultimate)	#a0948f,#b28aa1
Robert Baldwin 	#25101a,#26110e
Random	#3030d,#270502
Rogue (Age of Apocalypse)	#34729b,#70201
Quicksilver (Age of Apocalypse)	#492d60,#8fb4bc
Sentinel	#fefcf7,#181740
Richard Fisk	#25101a,#26110e
Riptide	#25101a,#26110e
Scorpion (Ultimate)	#25101a,#26110e
Reptil	#fdfcf7,#5b6b65
Robin Chapel	#25101a,#26110e
Rhino	#d3e4ee,#92a7b1
Scalphunter	#0,#5759c8
Scrambler	#aba495,#9fa7ae
Roland Deschain	#25101a,#26110e
Screwball	#25101a,#26110e
Retro Girl	#25101a,#26110e
Rogue (Ultimate)	#39b2ba,#52bbc5
Scourge	#25101a,#26110e
Red Shift	#25101a,#26110e
Randall	#25101a,#26110e
Scarlet Witch (Age of Apocalypse)	#50c2ca,#280603
Queen Noir	#25101a,#26110e
Roulette	#25101a,#26110e
Red Skull (Albert Malik)	#25101a,#26110e
Roughhouse	#25101a,#26110e
Santa Claus	#25101a,#26110e
Red Ghost (Ultimate)	#25101a,#26110e
Red Wolf	#25101a,#26110e
Sebastian Shaw	#f152e,#3d5788
Risque	#b78b9c,#54655c
Ravenous	#25101a,#26110e
Rick Jones	#435e6d,#dd8f41
Rogue (X-Men: Battle of the Atom)	#f4dab4,#cd9b75
Red Hulk (HAS)	#dce1d0,#954131
Red Hulk	#440703,#4f894f
Sandman	#25101a,#26110e
Reavers (Ultimate)	#25101a,#26110e
Satana	#100a06,#7e593c
Red Skull	#c7a41c,#6a4d51
Scarecrow (Ebenezer Laughton)	#25101a,#26110e
Rockslide	#25101a,#26110e
Scarlet Spider (Ben Reilly)	#3b0313,#81b32
Sentinels	#445589,#160d0a
Roxanne Simpson	#25101a,#26110e
Saracen (Muzzafar Lambert)	#25101a,#26110e
Rogue	#cb6b16,#db8c3b
Scarlet Witch (Marvel Heroes)	#85807e,#e2f42
Russian	#bb8d77,#7a584b
Scream (Donna Diego)	#25101a,#26110e
Rocket Racer	#ab9d97,#21140e
Rattler	#25101a,#26110e
Quicksilver	#cb6a17,#d9853d
Reaper	#25101a,#26110e
Raza	#fdfbfc,#fbfbfb
Red 9	#25101a,#26110e
Senator Kelly	#fcfaf2,#1c0e06
Raider	#25101a,#26110e
Sabretooth (Ultimate)	#849bb0,#12100c
Rocket Raccoon (Marvel Heroes)	#12252f,#828281
Sage	#10000,#b4948a
Sabretooth (House of M)	#ebdcd4,#27120e
Rictor	#4f884f,#140b08
Red She-Hulk	#c8a51b,#14191d
Sabretooth	#e0a06,#fbf7ee
Rafael Vega	#25101a,#26110e
Scorpion (Carmilla Black)	#1e262d,#42606f
Sasquatch (Walter Langkowski)	#25101a,#26110e
Selene	#50402,#60b13
Rick Jones (Ultimate)	#25101a,#26110e
Rage	#8c2d53,#190d14
Sauron	#c2803,#39241a
Salems Seven (Ultimate)	#25101a,#26110e
Sally Floyd	#d0e11,#cddaed
Rocket Raccoon	#54c0c9,#39b2ba
Rawhide Kid	#fdfcfb,#50303
Randall Flagg	#141b20,#80504
Secret Warriors	#357197,#160d08
Radioactive Man	#e2e6bb,#b5b68e
Robbie Robertson	#b9a282,#7e5a3a
Romulus	#100c0a,#bc967a
Revanche	#ffffff,#e9f0f7
Sabretooth (Age of Apocalypse)	#cb8f71,#39b1b9
Rogue (Deadpool)	#910302,#930204
Redwing	#fefefd,#a54133
She-Hulk (Jennifer Walters)	#d9883f,#c86b18
Silver Sable	#482d5d,#654f6c
Silver Centurion	#25101a,#26110e
Slayback	#25101a,#26110e
Speedball (Robert Baldwin)	#e6f0fa,#fefbfa
Shadu the Shady	#2b0c1d,#a69384
Skrulls (Ultimate)	#25101a,#26110e
Spider-Ham (Larval Earth)	#25101a,#26110e
Silver Fox	#fdfdfc,#31c0c
Ser Duncan	#25101a,#26110e
Shocker (Herman Schultz)	#25101a,#26110e
Sinister Six	#40606f,#c0a764
Shinobi Shaw	#f5eace,#190e05
Shiver Man	#25101a,#26110e
Shadowcat (Ultimate)	#35557a,#2c2017
Skaar	#fefefe,#52655e
Spider-Man (Ultimate)	#4a2c5f,#3b224c
Solo (James Bourne)	#1d1b34,#545678
Siren (Earth-93060)	#25101a,#26110e
Shatterstar	#c38e64,#e0edf6
Songbird	#efcce0,#ead8c5
Spencer Smythe	#25101a,#26110e
Skin	#27262c,#e2d7bd
Spider-Man (2099)	#2e709c,#71210
Spider-Man (Marvel: Avengers Alliance)	#514340,#460e08
Spider-Man	#cca71b,#d7ab43
Shard	#fdfdfd,#60402
Shadowcat	#a08876,#140b07
Sleeper	#25101a,#26110e
ShiAr	#a73a29,#161e21
Shanna the She-Devil	#f7f1d9,#c18d6b
Shang-Chi	#40302,#492d5f
Slipstream	#25101a,#26110e
Sir Ram	#905f32,#450d07
Shadow King (Age of Apocalypse)	#3977a1,#ba9e77
Silvermane	#d7e7f7,#94908d
Silver Samurai	#25201f,#191f1c
Sister Grimm	#fae3bc,#f0705
Skaar (HAS)	#92ad92,#71a0d
She-Hulk (Lyra)	#99918d,#766152
Shen	#17171e,#181514
Silverclaw	#fcfcfb,#848381
Shape	#bc9784,#f8f3f1
Spider-Girl (Anya Corazon)	#271721,#73a872
Spider-Girl (May Parker)	#4e5b80,#f1735
Serpent Society	#3c647b,#c1a23
Silver Samurai (Age of Apocalypse)	#f2ece7,#be9e6f
Silhouette	#25101a,#26110e
She-Hulk (Ultimate)	#c7a41d,#b8b75c
Spider-Man (Ben Reilly)	#2e73a1,#2051c
Smiling Tiger	#25101a,#26110e
Spider-Man (Marvel Zombies)	#a29489,#a3482b
Snowbird	#10100,#6eafcc
She-Hulk (HAS)	#d8dccc,#0
Spider-Woman (Charlotte Witter)	#f5e8bc,#2040b
Shaman	#25101a,#26110e
Shriek	#a63220,#922616
Slyde	#70504,#a0f15
Spider-Gwen (Spider-Gwen)	#4f884f,#fefefe
Speed Demon	#d68b66,#216e90
Spider-Man (LEGO Marvel Super Heroes)	#f6e6cc,#d5916b
Spider-Man (Takuya Yamashiro)	#d74c16,#ca864d
Silver Surfer	#4f884f,#faf8f6
Shockwave	#f9f5c3,#7a6331
Silk Fever	#25101a,#26110e
Spacker Dave	#25101a,#26110e
Shalla-bal	#25101a,#26110e
Spider-Man (1602)	#4f884f,#395371
Shooting Star	#25101a,#26110e
Shadowcat (Age of Apocalypse)	#4f884f,#50b0e
Shadow King	#90907,#151f23
She-Hulk (Marvel War of Heroes)	#241f1b,#825f49
Sleepwalker	#20000,#951244
Sharon Carter	#88533a,#1f0d07
Shiva	#25101a,#26110e
Shinko Yamashiro	#25101a,#26110e
Sentry (Robert Reynolds)	#d49c59,#49c4cf
Sif	#f8ede7,#757171
Slapstick	#a39894,#9babba
Sin	#c9a61c,#c8ae45
Shang-Chi (Ultimate)	#25101a,#26110e
Skreet	#e9e9f3,#a69288
Sharon Ventura	#25101a,#26110e
Spider-Man (Ai Apaec)	#f6f0e5,#17110d
Spider-Woman (Jessica Drew)	#366e93,#50101
Shotgun	#25101a,#26110e
Spider-dok	#25101a,#26110e
Sons of the Tiger	#25101a,#26110e
Smasher (Vril Rokk)	#fdfdfd,#f0f3f8
Sphinx (Anath-Na Mut)	#25101a,#26110e
Skrulls	#7f5438,#291e15
Spider-Man (Noir)	#0,#151b1a
Skullbuster (Cylla Markham)	#121724,#1f190f
Spider-Man (House of M)	#39b2ba,#4ac4cd
Shane Yamada-Jones	#9c602f,#b4a678
Sheva Callister	#25101a,#26110e
Spectrum	#faf8f6,#190e0b
Sersi	#c9a61c,#daa45d
Spider-Man (Miles Morales)	#51c2ca,#c0402
Speed	#c0b1a,#200915
Terrax	#25101a,#26110e
Talisman (Elizabeth Twoyoungmen)	#25101a,#26110e
The Fury	#171107,#846230
The Liberteens	#25101a,#26110e
Starjammers	#5bbec7,#39b0b8
The Order	#25101a,#26110e
Storm (Marvel Heroes)	#81807f,#e3447
Sub-Mariner	#50c5cd,#ac9186
Sugar Man	#32729c,#776247
Spot	#fbfb3f,#130400
Talon (Fraternity of Raptors)	#25101a,#26110e
Spitfire	#f9f2e8,#aa9484
Supernaut	#5070b,#e1d10
Starfox	#d8cfbe,#331e13
Thaddeus Ross	#25101a,#26110e
Stilt-Man (Wibur Day)	#4f5f67,#83a0ae
The Professor	#25101a,#26110e
Super Hero Squad	#25101a,#26110e
Star Brand	#25101a,#26110e
The Executioner	#311811,#915338
Tarantula (Luis Alvarez)	#25101a,#26110e
Spirit	#b121b,#655f7c
Tarot	#25101a,#26110e
Tag	#25101a,#26110e
Tana Nile	#fbf9fa,#515280
Tempest	#25101a,#26110e
Steve Rogers	#25101a,#26110e
The 198	#25101a,#26110e
Talkback (Chase Stein)	#25101a,#26110e
Swordsman	#caa61b,#c6ac4b
Synch	#ffffff,#e9f0f7
The Fallen	#25101a,#26110e
Terror	#0,#83827e
Super-Adaptoid	#c39569,#735d45
Sunspot	#353130,#c8925d
Sunset Bain	#fefefd,#ca8a5a
Swordsman (Jaques Duquesne)	#25101a,#26110e
The Hunter	#85561f,#251a10
Spiral (Rita Wayword)	#cdeaf5,#147e8b
Stranger	#f1dac6,#afa19a
Spyke	#25101a,#26110e
Surge	#87abb9,#d0d9dd
Starhawk (Stakar Ogord)	#25101a,#26110e
Spider-Woman (Mattie Franklin)	#4f854f,#40202
The Initiative	#af9785,#110603
Stone Men	#25101a,#26110e
Stephanie de la Spiroza	#25101a,#26110e
Thanos (Ultimate)	#191f27,#4d5664
Strong Guy	#111c19,#dc8579
Talos	#10252e,#1a2d24
Sunfire (Age of Apocalypse)	#fbeabf,#4f884f
Stryfe (Ultimate)	#25101a,#26110e
Starbolt	#fcfcfb,#fce74b
Taskmaster	#30201,#545d6a
Stryfe	#9b4132,#60504
Tattoo	#25101a,#26110e
Swarm	#20101,#7f4574
Storm	#4f8850,#5a9759
TChalla	#25101a,#26110e
Stephen Strange	#25101a,#26110e
Stepford Cuckoos	#edf1fa,#f3e6f4
Squadron Sinister	#25101a,#26110e
Stick	#25101a,#26110e
Stacy X (Ultimate)	#25101a,#26110e
The Anarchist	#10100,#f6ed04
Squadron Supreme (Earth-712)	#5c5a71,#873c4c
Supreme Intelligence	#6ac1ac,#32b194
Switch	#25101a,#26110e
Storm (Age of Apocalypse)	#d58c4a,#c76a1b
Stature	#32729d,#e0603
Stingray (Walter Newell)	#fafcf1,#b0000
Super-Skrull	#a43726,#902616
Star-Lord (Peter Quill)	#9f422f,#912616
The Hand	#10000,#1f1018
Storm (Ultimate)	#31729f,#6096bf
The Phantom	#25101a,#26110e
Thanos	#4e884f,#f1926
Ted Forrester	#25101a,#26110e
Sue Storm	#55c1c9,#39b2ba
Stark Industries	#25101a,#26110e
Sway	#73495c,#c97a8c
Sprite	#25101a,#26110e
Sym	#25101a,#26110e
The Call	#25101a,#26110e
Sumo	#25101a,#26110e
Sunfire	#39b1b9,#52c1c9
The Hood	#6b515f,#30101
Tenebrous	#a7998b,#f2e5cf
Steel Serpent (Davos)	#fdfdfd,#20202
Stacy X	#25101a,#26110e
Squirrel Girl	#fefefe,#755746
The Enforcers	#25101a,#26110e
The Liberty Legion	#25101a,#26110e
Stellaris	#9e8f8a,#a69199
Susan Delgado	#25101a,#26110e
The Leader (HAS)	#8ab27d,#dbded0
The Captain	#25101a,#26110e
Texas Twister	#f0e7d0,#9aacbe
Stardust	#25101a,#26110e
The Howling Commandos	#6c683c,#c8955e
Titanium Man (Topolov)	#7e4a3b,#e0d0a
Trauma	#c8a51c,#60403
The Twelve	#1b110e,#1e0e13
U.S. Agent	#20000,#4ac5cd
Tomas	#25101a,#26110e
Vin Gonzales	#25101a,#26110e
Thunderbolt Ross	#200e0b,#c58c80
The Shiver Man	#546068,#8aa3ae
Thunderball	#25101a,#26110e
Toad Men	#25101a,#26110e
Venus Dee Milo	#25101a,#26110e
Thor (Marvel Heroes)	#173243,#9d8777
Victor Von Doom	#25101a,#26110e
Ultimatum	#25101a,#26110e
Toxin (Eddie Brock)	#39b2ba,#b0403
Ultragirl (Earth-93060)	#30729e,#c2906c
Thena	#c09761,#8b5c4d
Vanisher (Age of Apocalypse)	#25101a,#26110e
Thor	#386f95,#6d9ab8
Ultra-Adaptoid	#25101a,#26110e
Tyrannus	#25101a,#26110e
Vermin (Edward Whelan)	#8f4532,#70503
Tippy Toe	#25101a,#26110e
Triton	#3073a0,#6e633d
Thor Girl	#482d5f,#ba936f
Valkyrie (Samantha Parrington)	#c8a41d,#d2a44f
Victor Mancha	#faeeca,#23190f
The Santerians	#25101a,#26110e
Triathlon	#fefefe,#8b8279
Thor (Ultimate)	#c86b19,#d88b42
True Believers	#25101a,#26110e
Typhoid Mary	#f1510,#100d0b
Valeria Richards	#140f09,#b39b81
Vertigo (Savage Land Mutate)	#25101a,#26110e
Unus (Age of Apocalypse)	#30719f,#50712
Tony Stark	#25101a,#26110e
Tyger Tiger	#25101a,#26110e
Tigers Beautiful Daughter	#a5501b,#d79f53
Thunderbolts	#5dc3cb,#171616
Vance Astro	#25101a,#26110e
Thunderbolt (Bill Carver)	#25101a,#26110e
Ultimo	#8facba,#f0ebdb
Timeslip	#25101a,#26110e
Turbo	#50404,#100f15
Thor (Marvel: Avengers Alliance)	#514845,#1a100c
Venus (Siren)	#c39985,#4f884f
Vector	#ec8b4c,#aa4f26
Valkyrie (Ultimate)	#c99073,#865549
Venom (Ultimate)	#999797,#16171e
Unus (Ultimate)	#ffffff,#e9f0f7
Thing	#b89d69,#d78d15
Thundra	#8311b,#27130a
Union Jack (Joseph Chapman)	#9c8a87,#7a706b
Tombstone	#291321,#110d1b
Thunderbird (John Proudstar)	#fcf9f6,#230a06
Ultimate Spider-Man (USM)	#11233e,#41c2f1
Thor (Goddess of Thunder)	#34729a,#79a3b9
The Renegades	#25101a,#26110e
Toro (Thomas Raymond)	#a94d10,#fa470e
Thunderbird (Neal Shaara)	#d59a59,#8e5738
Thing (Marvel Heroes)	#e3243,#ab8b67
Thing (Ultimate)	#2a220f,#7a6431
Veda	#25101a,#26110e
Thor (Marvel War of Heroes)	#300712,#141328
Toad	#ba6720,#df8c3c
Two-Gun Kid	#7295e2,#4f72c8
The Watchers	#25101a,#26110e
Vargas	#f04561,#71441
U-Foes	#ada79f,#d7cec6
Union Jack (Brian Falsworth)	#25101a,#26110e
U-Go Girl	#81a7b5,#c10a27
The Spike	#25101a,#26110e
Tiger Shark	#8ea4ae,#30100
Union Jack (Montgomery Falsworth)	#fcf8f1,#998781
Vanisher (Ultimate)	#25101a,#26110e
Thor (MAA)	#386373,#212d38
Trish Tilby	#25101a,#26110e
Uatu The Watcher	#c7a41d,#caa259
Vampiro	#780f26,#8ca1ac
Toxin	#546974,#b1016
Tusk	#25101a,#26110e
Ultron	#3075a2,#1f0a01
Violations	#25101a,#26110e
Ulik	#b09773,#80d08
Unus	#fefdfc,#96837e
Tomorrow Man	#25101a,#26110e
Unicorn	#f5f3e2,#a5907d
Venom (Flash Thompson)	#b0b09,#c6a420
Ultimates	#faf4e5,#190e0b
Vengeance (Michael Badilino)	#b2004,#8bbd23
Titania	#4e874f,#b0301
Tinkerer	#2e6ea1,#cee3f0
Vindicator	#a0602,#a8896f
Vapor	#fdfbf3,#9e9676
The Stranger	#f1dac6,#afa19a
Tigra (Greer Nelson)	#492d5f,#df925a
Venom (Mac Gargan)	#a93321,#912616
Vanisher (Telford Porter)	#25101a,#26110e
Unus (House of M)	#25101a,#26110e
Umar	#25101a,#26110e
Xorn (Kuan-Yin Xorn)	#30100,#a28f80
Wild Child	#c9936c,#301d08
Wonder Man	#fefefe,#564b9a
X-Factor Investigations	#b29688,#b0402
Winter Soldier	#4f884f,#70404
Young X-Men	#25101a,#26110e
Zemo	#25101a,#26110e
Wallow	#25101a,#26110e
X-Babies	#1b1108,#ae8e71
Wendell Rand	#25101a,#26110e
Wallop	#bfdaf3,#251f1b
Warhawk (Mitchell Tanner)	#25101a,#26110e
Warlock (Janie Chin)	#25101a,#26110e
Wasp (Ultimate)	#84a3bc,#a5432c
Wolverine (Ultimate)	#33729d,#402610
Wendigo	#e0d0b,#90b4a7
